40.28256327,-111.65436494,blue,marker
40.28226798,-111.65431805,black,square
40.28223349,-111.65437475,black,square
40.28221017,-111.65455966,black,square
40.28306452,-111.65693509,black,square
40.28303291,-111.65713540,black,square
40.28317364,-111.65772902,black,square
40.28309688,-111.65796137,black,square
40.28301478,-111.66308394,black,square
40.28310201,-111.65832393,black,square
40.28310232,-111.65832381,black,square
40.28282209,-111.65640829,black,square
40.28236614,-111.65447395,black,square
40.28212867,-111.65426430,black,square
